id,title,location and city,start_datetime,end_datetime,mode,price,description,city,mode_clean,price_type,embed_text,url
46,staaake Global Dinner Club for Founders & Creators,"Agara Park Entrance Gate 4, Bengaluru",Not specified,Not specified,In-person,Free / Paid ($0.00+),"Exclusive curated weekly dinner club for founders, creators, investors, and innovators focused on meaningful conversations, long-term trust, and high-quality networking in an intimate private setting",Bengaluru,in_person,mixed,"staaake global dinner club for founders & creators exclusive curated weekly dinner club for founders, creators, investors, and innovators focused on meaningful conversations, long-term trust, and high-quality networking in an intimate private setting bengaluru in_person mixed",https://www.eventbrite.ch/e/staaake-global-dinner-club-for-founders-creators-now-in-bengaluru-tickets-1977715659777?aff=ebdssbdestsearch
47,The Leadership Dialogues (Edition 1),"Netaji Subhas University of Technology, New Delhi","Multiple dates (Jan 12–20, 10:30 AMGMT+5:30)","Multiple dates (Jan 12–20, 4:00 PM GMT+5:30)",In-person,Free,"A multi-day leadership dialogue series bringing together industry professionals, academics, and community leaders to discuss AI-driven solutions for Delhi’s civic and social challenges, with insights contributing to the Delhi AI Grind Playbook",New Delhi,in_person,free,"the leadership dialogues (edition 1) a multi-day leadership dialogue series bringing together industry professionals, academics, and community leaders to discuss ai-driven solutions for delhi’s civic and social challenges, with insights contributing to the delhi ai grind playbook new delhi in_person free",https://www.eventbrite.ie/e/the-leadership-dialogues-edition-1-tickets-1978870485893?aff=ebdssbdestsearch
48,Plastindia 2026,"Bharat Mandapam, Pragati Maidan, New Delhi",2026-02-05T10:00:00+05:30,2026-02-05T17:00:00+05:30,In-person,On sale / Paid,"A major international plastics industry exhibition themed ‘Bharat Next’, showcasing innovations in plastic processing machinery, materials, and sustainable manufacturing technologies",New Delhi,in_person,paid,"plastindia 2026 a major international plastics industry exhibition themed ‘bharat next’, showcasing innovations in plastic processing machinery, materials, and sustainable manufacturing technologies new delhi in_person paid",https://www.eventbrite.com/e/plastindia-2026-tickets-1658526680949?aff=ebdssbdestsearch
49,Leadership Pivot Workshop - Pune Chapter,"Radisson Blu Hotel Pune Kharadi, Pune",2026-02-07T09:30:00+05:30,2026-02-07T16:00:00+05:30,In-person,Paid ($11.13),"A strategic career accelerator workshop for mid-career professionals focusing on product leadership, career transitions, entrepreneurship readiness, and personalized 90-day action planning",Pune,in_person,paid,"leadership pivot workshop - pune chapter a strategic career accelerator workshop for mid-career professionals focusing on product leadership, career transitions, entrepreneurship readiness, and personalized 90-day action planning pune in_person paid",https://www.eventbrite.com/e/leadership-pivot-workshop-pune-chapter-tickets-1978874423671?aff=ebdssbdestsearch
50,Jharkhand Mining & Construction Show,"Prabhat Tara Maidan (HEC Ground), Ranchi",2026-01-29T11:00:00+05:30,2026-01-31T19:00:00+05:30,In-person,Free,"National and international trade show showcasing innovations in mining, mineral extraction, and construction industries, featuring networking, live equipment demonstrations, and business opportunities",Ranchi,in_person,free,"jharkhand mining & construction show national and international trade show showcasing innovations in mining, mineral extraction, and construction industries, featuring networking, live equipment demonstrations, and business opportunities ranchi in_person free",https://www.eventbrite.com/e/jharkhand-mining-construction-show-tickets-1377095261999?aff=ebdssbdestsearch
51,Women in Tech Bengaluru - OutGeekWomen,"Bengaluru (Venue TBA), Bengaluru",2026-11-12T18:00:00+05:30,2026-11-12T20:30:00+05:30,In-person,Free / Paid ($0–$50),"Networking-focused event bringing together mid- and senior-level women in tech to connect with CTOs, hiring teams, and peers through pitches, speed interviews, and professional networking opportunities",Bengaluru,in_person,mixed,"women in tech bengaluru - outgeekwomen networking-focused event bringing together mid- and senior-level women in tech to connect with ctos, hiring teams, and peers through pitches, speed interviews, and professional networking opportunities bengaluru in_person mixed",https://www.eventbrite.com/e/women-in-tech-bengaluru-outgeekwomen-tickets-1330268963279?aff=ebdssbdestsearch
52,21st Global Investment Immigration Summit & International Real Estate Expo,"Le Méridien New Delhi, New Delhi",2026-04-11T09:00:00+05:30,2026-04-11T19:00:00+05:30,In-person,Free / Paid (£0–£100),"High-impact global summit bringing together HNIs, investors, immigration advisors, real estate developers, and policymakers to explore citizenship-by-investment programs, global residency, overseas real estate, wealth structuring, and international business expansion opportunities",New Delhi,in_person,mixed,"21st global investment immigration summit & international real estate expo high-impact global summit bringing together hnis, investors, immigration advisors, real estate developers, and policymakers to explore citizenship-by-investment programs, global residency, overseas real estate, wealth structuring, and international business expansion opportunities new delhi in_person mixed",https://www.eventbrite.co.uk/e/21st-global-investment-immigration-summit-international-real-estate-expo-registration-1976602250540?aff=ebdssbdestsearch
53,Women in Tech Hyderabad - OutGeekWomen,"Hyderabad, Telangana",2026-11-11T18:00:00+05:30,2026-11-11T20:30:00+05:30,In-person,Free / Paid ($0–$50),"Networking-focused event bringing together mid- and senior-level women in tech, including software engineers, data scientists, product managers, and designers, to connect with CTOs, hiring teams, and peers through pitches, discussions, and speed interviews in Hyderabad",Hyderabad,in_person,mixed,"women in tech hyderabad - outgeekwomen networking-focused event bringing together mid- and senior-level women in tech, including software engineers, data scientists, product managers, and designers, to connect with ctos, hiring teams, and peers through pitches, discussions, and speed interviews in hyderabad hyderabad in_person mixed",https://www.eventbrite.com/e/women-in-tech-hyderabad-outgeekwomen-tickets-1330296746379?aff=ebdssbdestsearch
54,staaake in Kolkata Power Walk for AI/Tech Founders & Creators,"Nipponzan Myohoji Buddhist Temple, Kolkata",2026-02-13T16:00:00+05:30,2026-02-13T17:00:00+05:30,In-person,Free,"A one-hour power walk networking event for AI, tech founders, creators, and investors to connect informally while walking, build peer relationships, and continue discussions via an exclusive WhatsApp group in Kolkata",Kolkata,in_person,free,"staaake in kolkata power walk for ai/tech founders & creators a one-hour power walk networking event for ai, tech founders, creators, and investors to connect informally while walking, build peer relationships, and continue discussions via an exclusive whatsapp group in kolkata kolkata in_person free",https://www.eventbrite.ch/e/staaake-in-kolkata-power-walk-for-aitech-founder-creators-tickets-1978760373544?aff=ebdssbdestsearch
55,staaake Global Dinner Club for Founders & Creators (One time in Kolkata),"Location shared by email (Park Street area), Kolkata",Multiple dates,Multiple dates,In-person,Free / Paid (food self-paid),"A curated, invitation-only dinner club bringing together founders, creators, investors, and tech leaders for deep, high-quality conversations, long-term relationship building, and access to a private international networking community in Kolkata",Kolkata,in_person,mixed,"staaake global dinner club for founders & creators (one time in kolkata) a curated, invitation-only dinner club bringing together founders, creators, investors, and tech leaders for deep, high-quality conversations, long-term relationship building, and access to a private international networking community in kolkata kolkata in_person mixed",https://www.eventbrite.ch/e/staaake-global-dinner-club-for-founders-creators-one-time-in-kolkata-tickets-1978760213064?aff=ebdssbdestsearch
56,"Conceptual Understanding as an Ecosystem: Ideas, Purpose, and Practices","NAAVU SCHOOL, Whitefield, Bengaluru",2026-03-23T09:00:00+05:30,2026-03-24T15:00:00+05:30,In-person,Paid (€368.14),"A two-day professional learning workshop for educators and leaders exploring conceptual understanding as an ecosystem of ideas, shared language, purpose, and daily practice to strengthen school culture, alignment, and collaborative growth",Bengaluru,in_person,paid,"conceptual understanding as an ecosystem: ideas, purpose, and practices a two-day professional learning workshop for educators and leaders exploring conceptual understanding as an ecosystem of ideas, shared language, purpose, and daily practice to strengthen school culture, alignment, and collaborative growth bengaluru in_person paid",https://www.eventbrite.be/e/conceptual-understanding-as-an-ecosystem-ideas-purpose-and-practices-tickets-1969841655418?aff=ebdssbdestsearch
57,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview","Four Points by Sheraton Chennai OMR, Chennai",2026-03-08T09:00:00+05:30,2026-03-08T17:00:00+05:30,In-person,Free,"Preview session, entrance test, and interviews for prospective students applying to NUS-ISS Graduate Programmes (August 2026 intake) covering AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis",Chennai,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview preview session, entrance test, and interviews for prospective students applying to nus-iss graduate programmes (august 2026 intake) covering ai systems, enterprise business analytics, software engineering, and systems analysis chennai in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-chennai-tickets-1847161051429?aff=ebdssbdestsearch
58,Bangalore 2026 FIRST Technical Colloquium,"Cisco Campus Private Road, Bengaluru",2026-02-10T08:30:00+05:30,2026-02-11T17:00:00+05:30,In-person,Free,"Two-day technical colloquium bringing together global cybersecurity professionals for in-depth talks, case studies, and practical insights on incident response, threat intelligence, vulnerability management, and security operations",Bengaluru,in_person,free,"bangalore 2026 first technical colloquium two-day technical colloquium bringing together global cybersecurity professionals for in-depth talks, case studies, and practical insights on incident response, threat intelligence, vulnerability management, and security operations bengaluru in_person free",https://www.eventbrite.com/e/bangalore-2026-first-technical-colloquium-tickets-1976889998201?aff=ebdssbdestsearch
59,VLSI Course FREE DEMO,"Quality Thought, Ameerpet Hyderabad",2026-02-11T10:00:00+05:30,2026-02-11T12:00:00+05:30,In-person,Free,"Free demo session introducing Very Large Scale Integration (VLSI) concepts, course structure, and learning outcomes for beginners and professionals interested in VLSI technology",Hyderabad,in_person,free,"vlsi course free demo free demo session introducing very large scale integration (vlsi) concepts, course structure, and learning outcomes for beginners and professionals interested in vlsi technology hyderabad in_person free",https://www.eventbrite.com/e/vlsi-course-free-demo-tickets-1979522932378?aff=ebdssbdestsearch
60,Cloud Data Engineer GCP Cloud Data,"Quality Thought, Ameerpet Hyderabad",2026-01-26T10:00:00+05:30,2026-01-26T12:00:00+05:30,In-person,Free,"Free offline workshop introducing Google Cloud Platform (GCP) Cloud Data and Cloud Engineer fundamentals, covering core cloud concepts, GCP services, infrastructure, storage, networking, and career guidance through hands-on demonstrations",Hyderabad,in_person,free,"cloud data engineer gcp cloud data free offline workshop introducing google cloud platform (gcp) cloud data and cloud engineer fundamentals, covering core cloud concepts, gcp services, infrastructure, storage, networking, and career guidance through hands-on demonstrations hyderabad in_person free",https://www.eventbrite.com/e/cloud-data-engineer-gcp-cloud-data-tickets-1978291835133?aff=ebdssbdestsearch
61,HealthCare Entrepreneur's Mixer (Mumbai),"Santacruz East, Mumbai",2026-01-30T18:00:00+05:30,2026-01-30T20:00:00+05:30,In-person,₹700,"Curated and exclusive networking mixer for healthcare, health-tech, and wellness founders, CXOs, investors, and industry leaders focused on meaningful discussions around innovation, scalability, regulations, technology adoption, and collaboration within a small handpicked group",Mumbai,in_person,paid,"healthcare entrepreneur's mixer (mumbai) curated and exclusive networking mixer for healthcare, health-tech, and wellness founders, cxos, investors, and industry leaders focused on meaningful discussions around innovation, scalability, regulations, technology adoption, and collaboration within a small handpicked group mumbai in_person paid",https://www.eventbrite.com/e/healthcare-entrepreneurs-mixer-mumbai-tickets-1977399743864?aff=ebdssbdestsearch
62,Women in Tech Chennai - OutGeekWomen,"Chennai, Tamil Nadu (TBA)",2026-11-19T18:00:00+05:30,2026-11-19T20:30:00+05:30,In-person,Free / Paid ($0–$50),"Community-driven networking event bringing together mid- and senior-level women professionals in technology to connect with CTOs, hiring teams, and peers through tech discussions, short pitches, speed interviews, and meaningful career-focused networking",Chennai,in_person,mixed,"women in tech chennai - outgeekwomen community-driven networking event bringing together mid- and senior-level women professionals in technology to connect with ctos, hiring teams, and peers through tech discussions, short pitches, speed interviews, and meaningful career-focused networking chennai in_person mixed",https://www.eventbrite.com/e/women-in-tech-chennai-outgeekwomen-tickets-1330299414359?aff=ebdssbdestsearch
63,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: Hyderabad","Red Fox Hotel, Hyderabad",2026-03-10T09:00:00+05:30,2026-03-10T12:00:00+05:30,In-person,Free,"Preview talk, entrance test, and interview session for prospective students interested in NUS-ISS graduate programmes covering AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis for the August 2026 intake",Hyderabad,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview: hyderabad preview talk, entrance test, and interview session for prospective students interested in nus-iss graduate programmes covering ai systems, enterprise business analytics, software engineering, and systems analysis for the august 2026 intake hyderabad in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-hyderabad-tickets-1847184120429?aff=ebdssbdestsearch
64,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: Pune","Ibis Pune Viman Nagar Hotel, Pune",2026-03-12T09:00:00+05:30,2026-03-12T12:00:00+05:30,In-person,Free,"Preview talk, entrance test, and interview session for prospective students interested in NUS-ISS graduate programmes covering AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis for the August 2026 intake",Pune,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview: pune preview talk, entrance test, and interview session for prospective students interested in nus-iss graduate programmes covering ai systems, enterprise business analytics, software engineering, and systems analysis for the august 2026 intake pune in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-pune-tickets-1847194020039?aff=ebdssbdestsearch
65,Money Alpha 360°,"IEML, Greater Noida",2026-04-24T10:00:00+05:30,2026-04-24T18:00:00+05:30,In-person,Free,"India’s leading finance and fintech platform bringing together investments, wealth management, fintech, digital assets, AI-driven finance and emerging technologies through exhibitions, conferences, networking, demos, and awards",Greater Noida,in_person,free,"money alpha 360° india’s leading finance and fintech platform bringing together investments, wealth management, fintech, digital assets, ai-driven finance and emerging technologies through exhibitions, conferences, networking, demos, and awards greater noida in_person free",https://www.eventbrite.co.uk/e/money-alpha-360-tickets-1980359377207?aff=ebdssbdestsearch
66,Future Defence Conclave 2026,"New Delhi, India",2026-08-11T08:30:00+05:30,2026-08-12T17:30:00+05:30,In-person,Paid (From $54.13),"International defence conclave focused on future warfare, AI, aerospace, cyber, space security, and next-generation multi-domain military technologies with participation from government, armed forces, industry, startups, and global defence leaders",New Delhi,in_person,paid,"future defence conclave 2026 international defence conclave focused on future warfare, ai, aerospace, cyber, space security, and next-generation multi-domain military technologies with participation from government, armed forces, industry, startups, and global defence leaders new delhi in_person paid",https://www.eventbrite.co.uk/e/future-defence-conclave-2026-tickets-1979009311123?aff=ebdssbdestsearch
67,Fitness Event Repetitive,"Silicon Central Mall, Dubai",Multiple dates,Multiple dates,Hybrid (In-person & Virtual),Paid (From $108.55),"Recurring fitness event featuring daily repetitive workout classes conducted both virtually and in-gym, suitable for all ages with guided sessions led by fitness professionals",Dubai,hybrid,paid,"fitness event repetitive recurring fitness event featuring daily repetitive workout classes conducted both virtually and in-gym, suitable for all ages with guided sessions led by fitness professionals dubai hybrid paid",https://www.eventbrite.com/e/fitness-event-repetitive-tickets-1968412088545?aff=ebdssbdestsearch
68,staaake Private Dinner: New Delhi Tech Conference AI/Tech Dinner,"New Delhi, India (location shared via email)",Multiple dates,Multiple dates,In-person,Free / Paid (Early bird from $0.00),"Limited-seat private dinner networking event for founders, creators, investors, developers, and tech leaders focused on high-quality conversations, trust-building, and AI/tech startup collaboration",New Delhi,in_person,mixed,"staaake private dinner: new delhi tech conference ai/tech dinner limited-seat private dinner networking event for founders, creators, investors, developers, and tech leaders focused on high-quality conversations, trust-building, and ai/tech startup collaboration new delhi in_person mixed",https://www.eventbrite.ch/e/staaake-private-dinner-new-delhi-tech-conference-aitech-dinner-tickets-1977851599376?aff=ebdssbdestsearch
69,BigFix Connect In Person - Mumbai India User Group,"Courtyard Mumbai International Airport, Mumbai",2026-02-06T09:00:00+05:30,2026-02-06T16:00:00+05:30,In-person,Free (Sold Out),"In-person user group event for BigFix administrators, engineers, and business owners featuring product updates, future roadmap discussions, and direct interaction with BigFix Product Management and technical advisors",Mumbai,in_person,free,"bigfix connect in person - mumbai india user group in-person user group event for bigfix administrators, engineers, and business owners featuring product updates, future roadmap discussions, and direct interaction with bigfix product management and technical advisors mumbai in_person free",https://www.eventbrite.com/e/bigfix-connect-in-person-mumbai-india-user-group-tickets-1560210835609?aff=ebdssbdestsearch
70,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: DELHI","The Muse Sarovar Portico Nehru Place, Delhi",2026-03-22T09:00:00+05:30,Not specified,In-person,Free,"Preview talk, entrance test, and interview session for prospective applicants to NUS-ISS graduate programmes in AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis for the August 2026 intake",Delhi,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview: delhi preview talk, entrance test, and interview session for prospective applicants to nus-iss graduate programmes in ai systems, enterprise business analytics, software engineering, and systems analysis for the august 2026 intake delhi in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-delhi-tickets-1847251150919?aff=ebdssbdestsearch
71,3rd Surfentech Expo Chennai 2026,"Chennai Trade Centre, Nandambakkam, Chennai",2026-06-11T10:00:00+05:30,2026-06-13T18:00:00+05:30,In-person,Free,"Industry expo focused on surface treatment and finishing technologies, industrial coatings, and related innovations, co-located with the 7th Expo Paint & Coatings 2026, featuring exhibitors, buyers, and cross-industry networking",Chennai,in_person,free,"3rd surfentech expo chennai 2026 industry expo focused on surface treatment and finishing technologies, industrial coatings, and related innovations, co-located with the 7th expo paint & coatings 2026, featuring exhibitors, buyers, and cross-industry networking chennai in_person free",https://www.eventbrite.ie/e/3rd-surfentech-expo-chennai-2026-tickets-1779681056949?aff=ebdssbdestsearch
72,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: MUMBAI","Mirage Hotel Mumbai, Andheri East, Mumbai",2026-03-17T09:00:00+05:30,2026-03-17T12:00:00+05:30,In-person,Free,"Preview session, entrance test, and interviews for prospective applicants to NUS-ISS Graduate Programmes (AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis), designed to help professionals enhance skills in data, digital transformation, and modern IT for August 2025/2026 intake",Mumbai,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview: mumbai preview session, entrance test, and interviews for prospective applicants to nus-iss graduate programmes (ai systems, enterprise business analytics, software engineering, and systems analysis), designed to help professionals enhance skills in data, digital transformation, and modern it for august 2025/2026 intake mumbai in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-mumbai-tickets-1847209345879?aff=ebdssbdestsearch
73,Bharat Chemical Tech Expo 2026,"Bharat Mandapam, Pragati Maidan, New Delhi",Not specified," ""Not specified""",In-person,Free,"India’s premier exhibition for the chemical, process, and allied industries, showcasing raw materials, plant equipment, and advanced technologies while bringing together industry leaders, innovators, and startups for networking and business opportunities",New Delhi,in_person,free,"bharat chemical tech expo 2026 india’s premier exhibition for the chemical, process, and allied industries, showcasing raw materials, plant equipment, and advanced technologies while bringing together industry leaders, innovators, and startups for networking and business opportunities new delhi in_person free",https://www.eventbrite.com/e/bharat-chemical-tech-expo-2026-tickets-1969112558670?aff=ebdssbdestsearch
74,Startup Awards 2026,"Bharat Mandapam, Pragati Maidan, New Delhi",2026-02-04T10:00:00+05:30,2026-02-04T21:30:00+05:30,In-person,Paid ($210.35),"National-level awards event by Entrepreneur India celebrating innovative startups with recognition, media exposure, investor and mentor networking, and opportunities to accelerate growth within India’s startup ecosystem",New Delhi,in_person,paid,"startup awards 2026 national-level awards event by entrepreneur india celebrating innovative startups with recognition, media exposure, investor and mentor networking, and opportunities to accelerate growth within india’s startup ecosystem new delhi in_person paid",https://www.eventbrite.com/e/startup-awards-2026-tickets-1977764161848?aff=ebdssbdestsearch
75,UI/UX Workshop,"Quality Thought, Ameerpet, Hyderabad",2026-01-25T10:30:00+05:30,2026-01-25T11:30:00+05:30,In-person,Free,"Hands-on offline UI/UX workshop by Quality Thought covering UI/UX fundamentals, design thinking, and real-world workflows using tools like Figma and Adobe XD, aimed at beginners and aspiring designers",Hyderabad,in_person,free,"ui/ux workshop hands-on offline ui/ux workshop by quality thought covering ui/ux fundamentals, design thinking, and real-world workflows using tools like figma and adobe xd, aimed at beginners and aspiring designers hyderabad in_person free",https://www.eventbrite.com/e/uiux-tickets-1978242601875?aff=ebdssbdestsearch
76,Data Analytics Course FREE DEMO,"Quality Thought, Ameerpet, Hyderabad",2026-01-27T10:00:00+05:30,2026-01-27T12:00:00+05:30,In-person,Free,"Free in-person demo session introducing data analytics concepts, course structure, and career benefits for beginners and aspiring data analysts",Hyderabad,in_person,free,"data analytics course free demo free in-person demo session introducing data analytics concepts, course structure, and career benefits for beginners and aspiring data analysts hyderabad in_person free",https://www.eventbrite.com/e/data-analytics-course-free-demo-on-19-20-dec-2025-tickets-1978395540318?aff=ebdssbdestsearch
77,WomenHack - Bangalore (Employer Ticket),"Bangalore, Karnataka",2026-04-08T18:30:00+05:30,2026-04-08T21:30:00+05:30,In-person,Paid ($726.78),"Diversity-focused recruiting and networking event for employers to connect with women in tech through 5-minute speed interviews, employer branding, and open networking in Bangalore",Bengaluru,in_person,paid,"womenhack - bangalore (employer ticket) diversity-focused recruiting and networking event for employers to connect with women in tech through 5-minute speed interviews, employer branding, and open networking in bangalore bengaluru in_person paid",https://www.eventbrite.com/e/womenhack-bangalore-employer-ticket-april-8-2026-tickets-1979784704345?aff=ebdssbdestsearch
78,HealthCare Startup Mixer (Mumbai),"Santacruz East, Mumbai",2026-01-30T18:00:00+05:30,2026-01-30T20:00:00+05:30,In-person,"Paid (₹700, approval required)","Curated and limited-attendee networking mixer for healthcare, wellness, and health-tech founders, CXOs, investors, and industry veterans to build meaningful collaborations and long-term relationships",Mumbai,in_person,paid,"healthcare startup mixer (mumbai) curated and limited-attendee networking mixer for healthcare, wellness, and health-tech founders, cxos, investors, and industry veterans to build meaningful collaborations and long-term relationships mumbai in_person paid",https://www.eventbrite.com/e/healthcare-startup-mixer-mumbai-tickets-1977708786218?aff=ebdssbdestsearch
79,Python Course Free DEMO,"Quality Thought, Ameerpet, Hyderabad",2026-02-02T10:00:00+05:30,2026-02-02T12:00:00+05:30,In-person,Free,"Introductory Python programming demo session for beginners and enthusiasts, offering hands-on exposure to Python basics and an overview of the full course curriculum",Hyderabad,in_person,free,"python course free demo introductory python programming demo session for beginners and enthusiasts, offering hands-on exposure to python basics and an overview of the full course curriculum hyderabad in_person free",https://www.eventbrite.com/e/python-course-free-demo-tickets-1978959812070?aff=ebdssbdestsearch
80,"NUS-ISS Graduate Programmes: Preview, Entrance Test & Interview: Kochi","The Avenue Regent, Kochi",2026-03-19T09:00:00+05:30,2026-03-19T12:00:00+05:30,In-person,Free,"Preview session, entrance test and interview for NUS-ISS graduate programmes covering AI Systems, Enterprise Business Analytics, Software Engineering, and Systems Analysis for August 2026 intake",Kochi,in_person,free,"nus-iss graduate programmes: preview, entrance test & interview: kochi preview session, entrance test and interview for nus-iss graduate programmes covering ai systems, enterprise business analytics, software engineering, and systems analysis for august 2026 intake kochi in_person free",https://www.eventbrite.sg/e/nus-iss-graduate-programmes-preview-entrance-test-interview-kochi-tickets-1847214752049?aff=ebdssbdestsearch
81,Side Event: staaake Reverse Network Opening Power Walk at AI Dev Conference,"Lalbagh South Gate (Siddapura Gate), Bengaluru",2026-03-12T08:00:00+05:30,2026-03-12T09:00:00+05:30,In-person,Free–Paid,"Power walk networking side event for tech and AI founders, creators, investors, and conference attendees using reverse networking format",Bengaluru,in_person,mixed,"side event: staaake reverse network opening power walk at ai dev conference power walk networking side event for tech and ai founders, creators, investors, and conference attendees using reverse networking format bengaluru in_person mixed",https://www.eventbrite.ch/e/side-event-staaake-reverse-network-opening-power-walk-at-ai-dev-conference-tickets-1979181130038?aff=ebdssbdestsearch
82,Global Ed Interaction In New Delhi 2026,"Eros Hotel, Nehru Place, New Delhi",2026-02-01T11:00:00+05:30,2026-02-01T17:00:00+05:30,In-person,Free,"Study abroad education fair with one-on-one university interactions, expert sessions, scholarships, application fee and language test waivers",New Delhi,in_person,free,"global ed interaction in new delhi 2026 study abroad education fair with one-on-one university interactions, expert sessions, scholarships, application fee and language test waivers new delhi in_person free",https://www.eventbrite.com/e/global-ed-interaction-in-new-delhi-2026-tickets-1980247608905?aff=ebdssbdestsearch
83,"AgentCamp 2026 - Nagpur, India","MaSyCoDa Solutions Private Limited, Nagpur",2026-03-07T10:00:00+05:30,2026-03-07T17:00:00+05:30,In-person,Free,"One-day global AI community event focused on autonomous systems with deep technical talks, live framework demos, hands-on workshops, and networking for developers and tech leaders",Nagpur,in_person,free,"agentcamp 2026 - nagpur, india one-day global ai community event focused on autonomous systems with deep technical talks, live framework demos, hands-on workshops, and networking for developers and tech leaders nagpur in_person free",https://www.eventbrite.com/e/agentcamp-2026-nagpur-india-tickets-1979844085957?aff=ebdssbdestsearch
84,DevOps Course FREE DEMO,"Quality Thought, Ameerpet Hyderabad",2026-02-04T10:00:00+05:30,2026-02-04T12:00:00+05:30,In-person,Free,"Free demo session introducing DevOps concepts, tools, and career opportunities with networking and course preview",Hyderabad,in_person,free,"devops course free demo free demo session introducing devops concepts, tools, and career opportunities with networking and course preview hyderabad in_person free",https://www.eventbrite.com/e/devops-course-free-demo-tickets-1979041578636?aff=ebdssbdestsearch
85,AppSentinels – API Security Platform,"Umiya Business Bay, Bengaluru",2026-03-07T10:00:00+05:30,2026-03-07T12:00:00+05:30,In-person,Free,"In-person session showcasing AppSentinels’ end-to-end API security platform with quick deployment, real-time protection, and behavioral analytics",Bengaluru,in_person,free,"appsentinels – api security platform in-person session showcasing appsentinels’ end-to-end api security platform with quick deployment, real-time protection, and behavioral analytics bengaluru in_person free",https://www.eventbrite.com/e/appsentinels-api-security-platform-tickets-1979209571106?aff=ebdssbdestsearch
86,THE STARTUP STORIES BY BENGALURU ENTREPRENEURS,"MIDAS School of Entrepreneurship Bengaluru, Bengaluru",2026-01-20T18:00:00+05:30,2026-01-20T20:00:00+05:30,In-person,Free,"An interactive startup storytelling and networking event where Bengaluru entrepreneurs share real journeys, challenges, insights, and inspiration while fostering meaningful connections within the startup ecosystem",Bengaluru,in_person,free,"the startup stories by bengaluru entrepreneurs an interactive startup storytelling and networking event where bengaluru entrepreneurs share real journeys, challenges, insights, and inspiration while fostering meaningful connections within the startup ecosystem bengaluru in_person free",https://www.eventbrite.com/e/the-startup-stories-by-bengaluru-entrepreneurs-tickets-1978881315284?aff=ebdssbdestsearch
87,Generative AI Training Free DEMO Course,"Quality Thought, Ameerpet Hyderabad",2026-02-19T10:00:00+05:30,2026-02-19T12:00:00+05:30,In-person,Free,"A free introductory demo session on Generative AI covering fundamentals and practical insights, suitable for beginners and professionals looking to explore modern AI technologies",Hyderabad,in_person,free,"generative ai training free demo course a free introductory demo session on generative ai covering fundamentals and practical insights, suitable for beginners and professionals looking to explore modern ai technologies hyderabad in_person free",https://www.eventbrite.com/e/generative-ai-training-free-demo-course-tickets-1980248114417?aff=ebdssbdestsearch
88,Azure Data Engineering Training in Hyderabad,"Version IT Institute, Hyderabad",2026-01-23T08:00:00+05:30,2026-01-23T10:00:00+05:30,In-person,Free,"Hands-on Azure Data Engineering training covering data pipelines, storage, and analytics with expert-led practical sessions for aspiring data engineers",Hyderabad,in_person,free,"azure data engineering training in hyderabad hands-on azure data engineering training covering data pipelines, storage, and analytics with expert-led practical sessions for aspiring data engineers hyderabad in_person free",https://www.eventbrite.com/e/azure-data-engineering-training-in-hyderabad-version-it-institute-tickets-1977496497256?aff=ebdssbdestsearch
89,In-Person 2-Day NetBrain Power User Training (Hyderabad),"SOHINI TECH PARK, Nanakramguda, Hyderabad",2026-01-21T09:00:00+05:30,2026-01-22T17:00:00+05:30,In-person,Free,"Two-day in-person NetBrain Power User Training focused on no-code network automation, advanced troubleshooting, hands-on labs, and real-world network efficiency optimization",Hyderabad,in_person,free,"in-person 2-day netbrain power user training (hyderabad) two-day in-person netbrain power user training focused on no-code network automation, advanced troubleshooting, hands-on labs, and real-world network efficiency optimization hyderabad in_person free",https://www.eventbrite.com/e/in-person-2-day-netbrain-power-user-training-hyderabad-tickets-1636257994709?aff=ebdssbdestsearch
